70,A20L000,02100,00000,ACQUISITION FEE
70,A20L000,02101,00000,ACCTG  LEGAL & AUDIT
70,A20L000,02102,00000,CONTRACT LABOR
70,A20L000,02103,00000,OTHER
70,A20O000,00900,00000,CARDIAC CATH
70,A20O000,00901,00000,EKG
70,A20O000,00902,00000,RADIOLOGY
70,A20O000,02100,00000,ACQUISITION FEE
70,A20O000,02101,00000,ACCTG  LEGAL & AUDIT
70,A20O000,02102,00000,CONTRACT LABOR
70,A20O000,02103,00000,OTHER
70,A20O001,02100,00000,OTHER
70,A20O001,02103,00000,OTHER
70,A20P000,00900,00000,CARDIAC CATH
70,A20P000,00901,00000,EKG
70,A20P000,00902,00000,RADIOLOGY
70,A20P000,02100,00000,ACQUISITION FEE
70,A20P000,02101,00000,ACCTG  LEGAL & AUDIT
70,A20P000,02102,00000,CONTRACT LABOR
70,A20P000,02103,00000,OTHER
70,A20U000,00900,00000,CARDIAC CATH
70,A20U000,00901,00000,EKG
70,A20U000,00902,00000,RADIOLOGY
70,A20U000,00903,00000,BRONCHOSCOPY
70,A20U000,02100,00000,ACQUISITION FEE
70,A20U000,02101,00000,ACCTG  LEGAL & AUDIT
70,A20U000,02102,00000,CONTRACT LABOR
70,A20U000,02103,00000,OTHER
70,A400010,00100,00000,PROFESSIONAL EDUCATION TO TISSUE
70,A400010,00100,00100,A
70,A400010,00100,00200,TISSUE
70,A400010,00100,00500,PROFESSIONAL EDUCATION
70,A400010,00200,00000,DEPRECIATION RECLASS
70,A400010,00200,00100,B
70,A400010,00200,00200,CAPITAL COSTS-BLDG & FIXT
70,A400010,00200,00500,CAPITAL COSTS-MVBLE EQUIPMENT
70,A400010,00300,00000,PROPERTY TAX
70,A400010,00300,00100,C
70,A400010,00300,00200,CAPITAL COSTS-BLDG & FIXT
70,A400010,00300,00500,ADMINISTRATIVE & GENERAL
70,A400010,00400,00000,STEP DOWN CAPITAL TO A&G
70,A400010,00400,00100,D
70,A400010,00400,00200,ADMINISTRATIVE & GENERAL
70,A400010,00400,00500,CAPITAL COSTS-BLDG & FIXT
70,A400010,00500,00000,STEP DOWN CAPITAL TO A&G
70,A400010,00500,00100,D
70,A400010,00500,00500,CAPITAL COSTS-MVBLE EQUIPMENT
70,A400010,00600,00000,NON-FOUNDATION A&G ALLOCATION
70,A400010,00600,00100,E
70,A400010,00600,00200,ORGAN ACQUISITION OVERHEAD
70,A400010,00600,00500,ADMINISTRATIVE & GENERAL
70,A400010,00700,00000,SRC RECLASS
70,A400010,00700,00100,F
70,A400010,00700,00200,PROCUREMENT COORDINATORS
70,A400010,00700,00500,TISSUE
70,A500010,00800,00100,B
70,A500010,00800,00300,PROCUREMENT COORDINATORS
70,A500010,01500,00000,FOUNDATION OPERATING EXPENSE
70,A500010,01500,00100,A
70,A500010,01500,00300,FOUNDATION
70,A500010,01601,00000,OTHER NON ALLOWABLE LINE EXPENSE
70,A500010,01601,00100,A
70,A500010,01601,00300,ADMINISTRATIVE & GENERAL
70,A500010,01602,00000,OTHER NON ALLOWABLE LINE EXPENSE
70,A500010,01602,00100,A
70,A500010,01602,00300,PANCREAS ACQUISITIONS
70,A500010,01603,00000,OTHER NON ALLOWABLE LINE EXPENSE
70,A500010,01603,00100,A
70,A500010,01603,00300,PROFESSIONAL EDUCATION
70,A500010,01604,00000,OTHER NON ALLOWABLE LINE EXPENSE
70,A500010,01604,00100,A
70,A500010,01604,00300,TISSUE
70,A500010,01605,00000,OTHER NON ALLOWABLE LINE EXPENSE
70,A500010,01605,00100,A
70,A500010,01605,00300,KIDNEY ACQUISITIONS
70,A51000A,00100,00100,N
70,B10000*,00100,00200,CAP BLDG
70,B10000*,00100,00300,CAP COSTS
70,B10000*,00100,00400,EMPLOYEE
70,B10000*,00100,00500,MEDICAL
70,B10000*,00100,00800,ORGAN
70,B10000*,00100,01000,ADMIN &
70,B10000*,00200,00200,OP PLANT &
70,B10000*,00200,00300,MOVABLE
70,B10000*,00200,00400,BENEFITS
70,B10000*,00200,00500,SUPPLIES
70,B10000*,00200,00800,ACQUISITN
70,B10000*,00200,01000,GENERAL
70,B10000*,00300,00200,HOUSEKEEP
70,B10000*,00300,00300,EQUIPMENT
70,B10000*,00300,00800,COSTS
70,B10000*,00400,00200,SQUARE
70,B10000*,00400,00300,SQUARE
70,B10000*,00400,00400,ADJUST
70,B10000*,00400,00500,COSTED
70,B10000*,00400,00600,ACCUM
70,B10000*,00400,00800,NUMBER
70,B10000*,00400,01000,ACCUM
70,B10000*,00500,00200,FEET
70,B10000*,00500,00300,FEET
70,B10000*,00500,00400,SALARIES
70,B10000*,00500,00500,REQUISIT
70,B10000*,00500,00600,COSTS
70,B10000*,00500,00800,ORGANS
70,B10000*,00500,01000,COSTS
70,B10000*,00600,00200,1
70,B10000*,00600,00300,2
70,B10000*,00600,00400,3
70,B10000*,00600,00500,3
70,B10000*,00600,00800,3
70,B10000*,00600,01000,3
70,B100000,00000,01000,X
70,E000000,00900,00000,OTHER CURRENT ASSETS
70,E000000,02600,00000,OTHER FIXED ASSETS
70,E000000,03900,00000,DEFERRED RENT
70,E000000,04100,00000,DUE TO MEDICARE
70,S000000,00100,00100,X
70,S000000,00400,00100,1
70,S000000,00500,00100,08/02/2021
70,S000000,00600,00100,10001
70,S000000,00700,00100,N
70,S000000,00800,00100,N
70,S000000,01000,00100,4
70,S000001,00100,00100,ONELEGACY
70,S000001,00100,00200,05P003
70,S000001,00101,00100,221 SOUTH FIGUEROA STREET
70,S000001,00102,00100,LOS ANGELES
70,S000001,00102,00200,CA
70,S000001,00102,00300,90012
70,S000001,00300,00100,01/01/2020
70,S000001,00300,00200,12/31/2020
70,S000001,00400,00100,8
70,S000001,00400,00300,1
70,S000001,00400,00400,01/01/1978
70,S000001,00401,00300,1
70,S000002,00100,00200,Y
70,S000002,00300,00100,CFO
70,S000002,00400,00100,07/30/2021
70,S100001,00700,00100,N
70,S100001,00810,00000,SB/I
70,S100001,00811,00000,OTHER TISSUE
70,S100003,00100,00100,MEDICAL DIRECTOR
70,S100003,00100,00300,MEDICAL DIRECTOR
70,S100003,00100,00500,LAB DIRECTOR
70,S100003,00101,00100,EXEC. DIRECTOR
70,S100003,00101,00300,PROCUREMENT COORDINATOR
70,S100003,00101,00500,TECHNICIANS
70,S100003,00102,00100,CLERICAL
70,S100003,00102,00300,PRESERVATION TECHNICIANS
70,S100003,00102,00500,TISSUE TYPING TECH.
70,S100003,00103,00100,OTHER
70,S100003,00103,00300,OTHER
70,S100003,00103,00500,OTHER
70,S200000,00100,00100,N
70,S200000,00200,00100,N
70,S200000,00300,00100,N
70,S200000,00400,00100,Y
70,S200000,00400,00200,A
70,S200000,00500,00100,N
70,S200000,00600,00300,CHIEF FINANCIAL OFFICER
70,S200000,00700,00100,ONE LEGACY
167,A000000,00100,00000,0100CAPITAL COSTS-BLDG & FIXT
167,A000000,00200,00000,0200CAPITAL COSTS-MVBLE EQUIPMENT
167,A000000,00300,00000,0300EMPLOYEE BENEFITS
167,A000000,00400,00000,0400ADMINISTRATIVE & GENERAL
167,A000000,00500,00000,0500OPERATION AND MAINTENANCE OF PLANT
167,A000000,00600,00000,0600HOUSEKEEPING
167,A000000,00700,00000,0700MEDICAL SUPPLIES
167,A000000,00800,00000,0800OTHER OVERHEAD
167,A000000,00900,00000,0900PROCUREMENT COORDINATORS
167,A000000,01000,00000,1000PROFESSIONAL EDUCATION
167,A000000,01100,00000,1100PUBLIC EDUCATION
167,A000000,01200,00000,1200OTHER ACQUISITION
167,A000000,01300,00000,1300KIDNEY ACQUISITIONS
167,A000000,01400,00000,1400TISSUE TYPING LABORATORY
167,A000000,01500,00000,1500LIVER ACQUISITIONS
167,A000000,01600,00000,1600HEART ACQUISITIONS
167,A000000,01700,00000,1700PANCREAS ACQUISITIONS
167,A000000,01800,00000,1800LUNG ACQUISITIONS
167,A000000,01900,00000,1900OTHER ACQUISITIONS
167,A000000,02100,00000,2100RESEARCH
167,A000000,02200,00000,2200BLOOD BANK
167,A000000,02300,00000,2300LABORATORY-NON-TISSUE TYPING
167,A000000,02400,00000,2400DIALYSIS UNITS
167,A000000,02500,00000,2500OTHER NON-REIMBURSABLE
167,A51000A,00100,00100,N
167,S000000,00100,00100,X
167,S000000,00400,00100,2
167,S000000,00500,00100,04/26/2021
167,S000000,00600,00100,10001
167,S000000,00700,00100,N
167,S000000,00800,00100,N
167,S000000,00900,00100,05/05/2021
167,S000000,01000,00100,4
167,S000001,00100,00100,COMMUNITY BLOOD CENTER
167,S000001,00100,00200,36HL06
167,S000001,00101,00100,349 S MAIN STREET
167,S000001,00102,00100,DAYTON
167,S000001,00102,00200,OH
167,S000001,00102,00300,45402-2715
167,S000001,00300,00100,01/01/2020
167,S000001,00300,00200,12/31/2020
167,S000001,00400,00100,4
167,S000001,00400,00300,2
167,S000001,00400,00400,10/22/1983
167,S000001,00401,00300,1
167,S100001,00700,00100,N
167,S100001,00810,00000,OTHER
167,S100003,00100,00100,MEDICAL DIRECTOR
167,S100003,00100,00300,MEDICAL DIRECTOR
167,S100003,00100,00500,LAB DIRECTOR
167,S100003,00101,00100,EXEC. DIRECTOR
167,S100003,00101,00300,PROCUREMENT COORDINATOR
167,S100003,00101,00500,TECHNICIANS
167,S100003,00102,00100,CLERICAL
167,S100003,00102,00300,PRESERVATION TECHNICIANS
167,S100003,00102,00500,TISSUE TYPING TECH.
167,S100003,00103,00100,OTHER
167,S100003,00103,00300,OTHER
167,S100003,00103,00500,OTHER
167,S200000,00100,00100,N
167,S200000,00200,00100,N
167,S200000,00300,00100,N
167,S200000,00400,00100,N
167,S200000,00500,00100,N
194,A000000,00100,00000,0100CAPITAL COSTS-BLDG & FIXT
194,A000000,00200,00000,0200CAPITAL COSTS-MVBLE EQUIPMENT
194,A000000,00300,00000,0300EMPLOYEE BENEFITS
194,A000000,00400,00000,0400ADMINISTRATIVE & GENERAL
194,A000000,00500,00000,0500OPERATION AND MAINTENANCE OF PLANT
194,A000000,00600,00000,0600HOUSEKEEPING
194,A000000,00700,00000,0700MEDICAL SUPPLIES
194,A000000,00800,00000,0800DATA PROCESSING
194,A000000,00801,00000,0801SERUM CYTO MCRO TRAYS
194,A000000,00900,00000,0900PROCUREMENT COORDINATORS
194,A000000,01000,00000,1000PROFESSIONAL EDUCATION
194,A000000,01100,00000,1100PUBLIC EDUCATION
194,A000000,01300,00000,1300KIDNEY ACQUISITIONS
194,A000000,01400,00000,1400TISSUE TYPING LABORATORY
194,A000000,01500,00000,1500LIVER ACQUISITIONS
194,A000000,01600,00000,1600HEART ACQUISITIONS
194,A000000,01700,00000,1700PANCREAS ACQUISITIONS
194,A000000,01800,00000,1800LUNG ACQUISITIONS
194,A000000,01900,00000,1900OTHER ACQUISITIONS
194,A000000,02100,00000,2100RESEARCH
194,A000000,02200,00000,2200BLOOD BANK
194,A000000,02300,00000,2300LABORATORY-NON-TISSUE TYPING
194,A000000,02400,00000,2400DIALYSIS UNITS
194,A000000,02500,00000,2500UNRELATED BONE MARROW DONOR
194,A000000,02502,00000,2502RESEARCH AND REFERENCE 61603
194,A100000,01700,00000,OPERATION OF PLANT
194,A100000,01800,00000,HOUSEKEEPING
194,A100000,01900,00000,OTHER ADMIN AND GENERAL
194,A300000,00600,00000,OFFICE SUPPLY
194,A300000,00700,00000,INVENTORIAL EQUIPMENT
194,A300000,00800,00000,TRAVEL
194,A300000,00900,00000,OTHER
194,A400010,00100,00000,CAPITAL BUILDING-RENTAL
194,A400010,00100,00100,A
194,A400010,00100,00200,CAPITAL COSTS-BLDG & FIXT
194,A400010,00100,00500,TISSUE TYPING LABORATORY
