220,8,10P001,,2,07/01/2019,06/30/2020,01/20/2022,N,N,D,10001,4,01/18/2022,,01/19/2022,,11/25/2020
222,2,45HL12,,2,01/01/2019,12/31/2019,01/26/2022,N,N,D,10001,4,01/24/2022,,01/25/2022,,07/30/2020
223,6,52P002,,2,01/01/2019,12/31/2019,01/27/2022,N,N,D,10001,4,01/24/2022,,01/26/2022,,08/28/2020
224,6,04P001,,2,01/01/2019,12/31/2019,01/28/2022,N,N,D,10001,4,01/26/2022,,01/27/2022,,08/03/2020
225,10,05HL06,,2,07/01/2019,06/30/2020,02/02/2022,N,N,D,10001,4,01/27/2022,,02/01/2022,,11/17/2020
227,6,15HL01,,2,01/01/2019,12/31/2019,02/07/2022,N,N,D,10001,4,02/02/2022,,02/04/2022,,08/31/2020
228,8,21HL01,,2,07/01/2019,06/30/2020,02/11/2022,N,N,D,10001,4,02/07/2022,,02/10/2022,,11/25/2020
229,6,31P001,,2,01/01/2019,12/31/2019,02/11/2022,N,N,D,10001,4,02/07/2022,,02/10/2022,,08/19/2020
230,8,40P002,,2,07/01/2019,06/30/2020,02/11/2022,N,N,D,10001,4,02/07/2022,,02/10/2022,,11/25/2020
232,2,05HL04,,2,01/01/2019,12/31/2019,02/16/2022,N,N,D,10001,4,02/10/2022,,02/14/2022,,09/25/2020
233,2,45HL13,,2,07/01/2019,06/30/2020,02/16/2022,N,N,D,10001,4,02/10/2022,,02/14/2022,,11/30/2020
234,6,50HL01,,2,07/01/2019,06/30/2020,02/16/2022,N,N,D,10001,4,02/10/2022,,02/14/2022,,11/30/2020
235,6,19P001,,2,01/01/2019,12/31/2019,02/25/2022,N,N,D,10001,4,02/23/2022,,02/24/2022,,09/01/2020
237,6,39P002,,2,01/01/2019,12/31/2019,03/02/2022,N,N,D,10001,4,02/28/2022,,03/01/2022,,09/01/2020
239,6,44P003,,2,01/01/2019,12/31/2019,03/07/2022,N,N,D,10001,4,03/03/2022,,03/04/2022,,11/23/2020
240,5,26HL04,,2,07/01/2019,06/30/2020,03/08/2022,N,N,D,10001,4,03/04/2022,,03/07/2022,,11/30/2020
247,6,50HL02,,2,01/01/2019,12/31/2019,03/29/2022,N,N,D,10001,4,03/24/2022,,03/28/2022,,09/25/2020
250,8,06HL04,,2,07/01/2019,06/30/2020,04/21/2022,N,N,D,10001,4,04/05/2022,,04/12/2022,,12/08/2020
251,8,10HL01,,2,07/01/2019,06/30/2020,04/21/2022,N,N,D,10001,4,04/05/2022,,04/12/2022,,11/25/2020
252,8,19HL05,,2,07/01/2019,06/30/2020,04/21/2022,N,N,D,10001,4,04/14/2022,,04/15/2022,,12/15/2020
263,8,11P002,,2,07/01/2019,06/30/2020,05/11/2022,N,N,D,10001,4,05/05/2022,,05/10/2022,,11/25/2020
264,10,23HL02,,2,07/01/2019,06/30/2020,05/11/2022,N,N,D,10001,4,05/05/2022,,05/10/2022,,11/25/2020
265,11,34P001,,2,07/01/2019,06/30/2020,05/11/2022,N,N,D,10001,4,05/05/2022,,05/10/2022,,11/25/2020
319,2,46P001,,2,07/01/2019,06/30/2020,06/29/2022,N,N,D,10001,4,06/27/2022,,06/28/2022,,01/04/2021
326,8,05HL09,,2,07/01/2019,06/30/2020,07/22/2022,N,N,D,10001,4,07/19/2022,,07/22/2022,,01/25/2021
331,2,05HL08,,2,01/01/2019,12/31/2019,10/17/2022,N,N,D,10001,4,12/09/2021,,12/13/2021,,06/10/2020
393,6,44P001,,2,10/01/2018,09/30/2019,02/06/2023,N,N,D,10001,4,02/01/2023,,02/03/2023,,02/28/2020
395,2,05HL05,,2,01/01/2019,12/31/2019,02/10/2023,N,N,D,10001,4,02/07/2023,,02/09/2023,,06/04/2020
397,6,45P002,,2,01/01/2019,12/31/2019,02/10/2023,N,N,F,10001,4,02/07/2023,,02/09/2023,,12/08/2022
