5,A000000,00100,00400,50576
5,A000000,00100,00500,50576
5,A000000,00100,00700,50576
5,A000000,00200,00400,78402
5,A000000,00200,00500,78402
5,A000000,00200,00600,272817
5,A000000,00200,00700,351219
5,A000000,00400,00100,361629
5,A000000,00400,00200,348746
5,A000000,00400,00300,710375
5,A000000,00400,00400,-34395
5,A000000,00400,00500,675980
5,A000000,00400,00600,7688063
5,A000000,00400,00700,8364043
5,A000000,00500,00400,476062
5,A000000,00500,00500,476062
5,A000000,00500,00700,476062
5,A000000,00600,00400,51231
5,A000000,00600,00500,51231
5,A000000,00600,00700,51231
5,A000000,00801,00400,12425
5,A000000,00801,00500,12425
5,A000000,00801,00700,12425
5,A000000,01400,00100,5439235
5,A000000,01400,00200,1360979
5,A000000,01400,00300,6800214
5,A000000,01400,00400,-575577
5,A000000,01400,00500,6224637
5,A000000,01400,00600,7581746
5,A000000,01400,00700,13806383
5,A000000,02100,00100,2290184
5,A000000,02100,00200,5676213
5,A000000,02100,00300,7966397
5,A000000,02100,00400,-9706
5,A000000,02100,00500,7956691
5,A000000,02100,00600,-3870711
5,A000000,02100,00700,4085980
5,A000000,02502,00100,691472
5,A000000,02502,00200,587667
5,A000000,02502,00300,1279139
5,A000000,02502,00400,-49018
5,A000000,02502,00500,1230121
5,A000000,02502,00600,-16428
5,A000000,02502,00700,1213693
5,A000000,02600,00100,8782520
5,A000000,02600,00200,7973605
5,A000000,02600,00300,16756125
5,A000000,02600,00500,16756125
5,A000000,02600,00600,11655487
5,A000000,02600,00700,28411612
5,A100000,00300,00200,9866
5,A100000,00300,00300,9866
5,A100000,00400,00200,5843
5,A100000,00400,00300,5843
5,A100000,00500,00200,45987
5,A100000,00500,00300,45987
5,A100000,00700,00200,4101
5,A100000,00700,00300,4101
5,A100000,00800,00200,21500
5,A100000,00800,00300,21500
5,A100000,00900,00200,26836
5,A100000,00900,00300,26836
5,A100000,01000,00200,6023
5,A100000,01000,00300,6023
5,A100000,01100,00200,599
5,A100000,01100,00300,599
5,A100000,01500,00100,361629
5,A100000,01500,00200,156069
5,A100000,01500,00300,517698
5,A100000,01700,00200,27207
5,A100000,01700,00300,27207
5,A100000,01800,00200,11468
5,A100000,01800,00300,11468
5,A100000,01900,00200,33247
5,A100000,01900,00300,33247
5,A100000,02000,00100,361629
5,A100000,02000,00200,348746
5,A100000,02000,00300,710375
5,A300000,00200,00100,5439235
5,A300000,00200,00200,2583289
5,A300000,00200,00300,8022524
5,A300000,00400,00200,367366
5,A300000,00400,00300,367366
5,A300000,00600,00200,5813298
5,A300000,00600,00300,5813298
5,A300000,00700,00200,78402
5,A300000,00700,00300,78402
5,A300000,00800,00200,6200
5,A300000,00800,00300,6200
5,A300000,00900,00200,-7487576
5,A300000,00900,00300,-7487576
5,A300000,01100,00100,5439235
5,A300000,01100,00200,1360979
5,A300000,01100,00300,6800214
5,A400010,00100,00300,1
5,A400010,00100,00400,50576
5,A400010,00100,00600,14
5,A400010,00100,00700,50576
5,A400010,00200,00300,2
5,A400010,00200,00400,78402
5,A400010,00200,00600,14
5,A400010,00200,00700,78402
5,A400010,00300,00300,5
5,A400010,00300,00400,476062
5,A400010,00300,00600,4
5,A400010,00300,00700,27175
5,A400010,00400,00600,14
5,A400010,00400,00700,435068
5,A400010,00500,00600,21
5,A400010,00500,00700,8812
5,A400010,00600,00600,25.02
5,A400010,00600,00700,5007
5,A400010,00700,00300,6
5,A400010,00700,00400,51231
5,A400010,00700,00600,4
5,A400010,00700,00700,7220
5,A400010,00800,00600,25.02
5,A400010,00800,00700,44011
5,A400010,00900,00300,8.01
5,A400010,00900,00400,12425
5,A400010,00900,00600,14
5,A400010,00900,00700,11531
5,A400010,01000,00600,21
5,A400010,01000,00700,894
5,A500010,00400,00200,7698769
5,A500010,01601,00200,350654
5,A500010,01601,00400,2
5,A500010,01602,00200,-77837
5,A500010,01602,00400,2
5,A500010,01603,00200,-76551
5,A500010,01603,00400,21
5,A500010,01604,00200,-13760
5,A500010,01604,00400,25.02
5,A500010,01605,00200,7581746
5,A500010,01605,00400,14
5,A500010,01606,00200,-2668
5,A500010,01606,00400,25.02
5,A500010,01607,00200,569605
5,A500010,01607,00400,21
5,A500010,01608,00200,-10706
5,A500010,01608,00400,4
5,A500010,01609,00200,-4363765
5,A500010,01609,00400,21
5,A500010,01700,00200,11655487
5,A51000B,00100,00100,4
5,A51000B,00100,00500,7698769
5,A51000B,00100,00600,7698769
5,A51000B,00500,00500,7698769
5,A51000B,00500,00600,7698769
5,A51000C,00100,00300,100
5,A51000C,00100,00500,100
5,A60000A,00100,00100,2512986
5,A60000A,00100,00600,2512986
5,A60000A,00500,00100,6462060
5,A60000A,00500,00200,64694
5,A60000A,00500,00400,64694
5,A60000A,00500,00600,6526754
5,A60000A,00800,00100,8975046
5,A60000A,00800,00200,64694
5,A60000A,00800,00400,64694
5,A60000A,00800,00600,9039740
5,A60000B,00200,00100,1591558
5,A60000B,00200,00400,1591558
5,A60000B,00600,00100,4481291
5,A60000B,00600,00200,438277
5,A60000B,00600,00400,4919568
5,A60000B,00900,00100,6072849
5,A60000B,00900,00200,438277
5,A60000B,00900,00400,6511126
5,B000000,00100,00100,9305556
5,B000000,00100,00200,-577869
5,B000000,00100,00300,-351219
5,B000000,00100,00601,-12425
5,B000000,00100,00900,8364043
5,B000000,00100,01000,-8364043
5,B000000,00400,00100,13806383
5,B000000,00400,00200,380944
5,B000000,00400,00300,266619
5,B000000,00400,00601,12425
5,B000000,00400,00900,14466371
5,B000000,00400,01000,6035512
5,B000000,00400,01100,20501883
5,B000000,01000,00100,4085980
5,B000000,01000,00200,64046
5,B000000,01000,00300,31785
5,B000000,01000,00900,4181811
5,B000000,01000,01000,1744693
5,B000000,01000,01100,5926504
5,B000000,01402,00100,1213693
5,B000000,01402,00200,132879
5,B000000,01402,00300,52815
5,B000000,01402,00900,1399387
5,B000000,01402,01000,583838
5,B000000,01402,01100,1983225
5,B000000,01600,00100,28411612
5,B000000,01600,00900,28411612
5,B000000,01600,01100,28411612
5,B100000,00400,00200,5490
5,B100000,00400,00300,412438
5,B100000,00400,00601,10700
5,B100000,00400,01000,14466371
5,B100000,01000,00200,923
5,B100000,01000,00300,49168
5,B100000,01000,01000,4181811
5,B100000,01402,00200,1915
5,B100000,01402,00300,81700
5,B100000,01402,01000,1399387
5,B100000,01600,00200,8328
5,B100000,01600,00300,543306
5,B100000,01600,00601,10700
5,B100000,01600,01000,20047569
5,B100000,01700,00200,577869
5,B100000,01700,00300,351219
5,B100000,01700,00601,12425
5,B100000,01700,01000,8364043
5,B100000,01800,00200,69.388689
5,B100000,01800,00300,.646448
5,B100000,01800,00601,1.161215
5,B100000,01800,01000,.41721
5,C000002,00100,00100,19451856
5,C000002,00200,00100,12442510
5,C000002,00300,00100,.639657
5,C000002,00400,00100,20501883
5,C000002,00500,00100,13114173
5,D000000,00100,00200,13114173
5,D000000,00300,00200,13114173
5,D000000,00400,00200,12442510
5,D000000,00500,00200,671663
5,D000000,00600,00200,11217
5,D000000,00800,00200,660446
5,E100001,00400,00200,19452856
5,E100001,00400,00300,19452856
5,E100001,01200,00200,19452856
5,E100001,01200,00300,19452856
5,E100002,00100,00200,16756125
5,E100002,00300,00100,11655487
5,E100002,00600,00200,11655487
5,E100002,01200,00200,28411612
5,E200000,00100,00200,19452856
5,E200000,00300,00200,19452856
5,E200000,00400,00200,28411612
5,E200000,00500,00200,-8958756
5,E200000,02500,00200,-8958756
5,E200000,02900,00200,-8958756
5,S000003,00100,00200,660446
5,S100002,00100,00100,68456
5,S100002,00200,00100,51903
5,S100002,00300,00100,51903
5,S100002,00400,00200,1
5,S100002,00401,00200,1
5,S100002,00402,00200,1
5,S100002,00403,00200,1
5,S100002,00404,00200,1
5,S100002,00405,00200,1
5,S100002,00406,00200,1
5,S100002,00407,00200,1
5,S100002,00408,00200,2
5,S100002,00409,00200,2
5,S100002,00410,00200,2
5,S100002,00411,00200,2
5,S100002,00412,00200,2
5,S100002,00413,00200,2
5,S100002,00414,00200,2
5,S100002,00415,00200,2
5,S100002,00416,00200,2
5,S100002,00417,00200,3
5,S100002,00418,00200,3
5,S100002,00419,00200,3
5,S100002,00420,00200,3
5,S100002,00421,00200,4
5,S100002,00422,00200,4
5,S100002,00423,00200,5
5,S100002,00424,00200,5
5,S100002,00425,00200,6
5,S100002,00426,00200,6
5,S100002,00427,00200,6
5,S100002,00428,00200,7
5,S100002,00429,00200,7
5,S100002,00430,00200,7
5,S100002,00431,00200,8
5,S100002,00432,00200,9
5,S100002,00433,00200,9
5,S100002,00434,00200,11
5,S100002,00435,00200,13
5,S100002,00436,00200,16
5,S100002,00437,00200,22
5,S100002,00438,00200,24
5,S100002,00439,00200,24
5,S100002,00440,00200,24
5,S100002,00441,00200,42
5,S100002,00442,00200,46
5,S100002,00443,00200,48
5,S100002,00444,00200,52
